# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:ppp'
# Event count (approx.): 3859094570
#
# Overhead  Command          Shared Object      Symbol                                                                                         
# ........  ...............  .................  ..........................................................................................................................................
#
     0.05%  deepbeliefGccPr  [kernel.kallsyms]  [k] mem_cgroup_from_task                                                                                                                  
     0.05%  deepbeliefGccPr  [kernel.kallsyms]  [k] __lru_cache_add                                                                                                                       
     0.04%  deepbeliefGccPr  [kernel.kallsyms]  [k] get_pfnblock_flags_mask                                                                                                               
     0.04%  deepbeliefGccPr  [kernel.kallsyms]  [k] vm_normal_page                                                                                                                        
     0.04%  deepbeliefGccPr  libm-2.19.so       [.] __ceilf                                                                                                                               
     0.04%  deepbeliefGccPr  libjpcnn.so        [.] Eigen::internal::general_matrix_matrix_product<int, float, 1, false, float, 0, false, 0>::run                                         
     0.03%  deepbeliefGccPr  [kernel.kallsyms]  [k] pfn_valid                                                                                                                             
     0.03%  deepbeliefGccPr  [kernel.kallsyms]  [k] free_hot_cold_page_list                                                                                                               
     0.03%  deepbeliefGccPr  [kernel.kallsyms]  [k] pagecache_get_page                                                                                                                    
     0.03%  deepbeliefGccPr  [kernel.kallsyms]  [k] sync_mm_rss                                                                                                                           
     0.03%  deepbeliefGccPr  libjpcnn.so        [.] eigen_cblas_sgemm                                                                                                                     
     0.03%  deepbeliefGccPr  libarmmem.so       [.] memcpy                                                                                                                                
     0.03%  deepbeliefGccPr  [kernel.kallsyms]  [k] put_page                                                                                                                              
     0.03%  deepbeliefGccPr  libjpcnn.so        [.] 0x00007220                                                                                                                            
     0.03%  deepbeliefGccPr  libjpcnn.so        [.] convert_from_channeled_rgb_image                                                                                                      
     0.03%  deepbeliefGccPr  ld-2.19.so         [.] _dl_lookup_symbol_x                                                                                                                   
     0.03%  deepbeliefGccPr  [kernel.kallsyms]  [k] v7_flush_icache_all                                                                                                                   
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] cpu_ca9mp_set_pte_ext                                                                                                                 
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] ret_from_exception                                                                                                                    
     0.02%  deepbeliefGccPr  libc-2.19.so       [.] _int_malloc                                                                                                                           
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] ret_to_user                                                                                                                           
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] free_pages_and_swap_cache                                                                                                             
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] __dabt_svc                                                                                                                            
     0.02%  deepbeliefGccPr  ld-2.19.so         [.] _dl_relocate_object                                                                                                                   
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] do_DataAbort                                                                                                                          
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] __dabt_usr                                                                                                                            
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] uncharge_list                                                                                                                         
     0.02%  deepbeliefGccPr  libc-2.19.so       [.] malloc                                                                                                                                
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] arm_copy_to_user                                                                                                                      
     0.02%  deepbeliefGccPr  libjpcnn.so        [.] zbuild_huffman                                                                                                                        
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] lru_add_drain_cpu                                                                                                                     
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] __pte_alloc                                                                                                                           
     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable                                                                                                   
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] finish_task_switch                                                                                                                    
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] update_group_capacity                                                                                                                 
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] radix_tree_lookup_slot                                                                                                                
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] __wake_up_bit                                                                                                                         
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] rebalance_domains                                                                                                                     
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] strlcpy                                                                                                                               
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] v7wbi_flush_user_tlb_range                                                                                                            
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] iov_iter_init                                                                                                                         
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] vma_compute_subtree_gap                                                                                                               
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] kmem_cache_free                                                                                                                       
     0.01%  deepbeliefGccPr  ld-2.19.so         [.] _dl_name_match_p                                                                                                                      
     0.01%  deepbeliefGccPr  libjpcnn.so        [.] compute_huffman_codes                                                                                                                 
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] __rb_insert_augmented                                                                                                                 
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] mmioset                                                                                                                               
