# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 300  of event 'cycles:ppp'
# Event count (approx.): 3816667444
#
# Children      Self  Command          Shared Object      Symbol                                                                                         
# ........  ........  ...............  .................  ..........................................................................................................................................
#
     0.90%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] page_cache_async_readahead                                                                                                            
     0.88%     0.88%  deepbeliefGccPr  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore                                                                                                           
     0.88%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] free_pages_and_swap_cache                                                                                                             
     0.88%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] release_pages                                                                                                                         
     0.63%     0.32%  deepbeliefGccPr  libjpcnn.so        [.] matrix_max                                                                                                                            
     0.63%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x00000011                                                                                                                            
     0.59%     0.00%  deepbeliefGccPr  [unknown]          [k] 0x000003e8                                                                                                                            
     0.49%     0.49%  deepbeliefGccPr  libjpcnn.so        [.] create_png_image_raw                                                                                                                  
     0.49%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x49246f4c                                                                                                                            
     0.45%     0.00%  deepbeliefGccPr  libjpcnn.so        [.] buffer_from_image_file                                                                                                                
     0.40%     0.40%  deepbeliefGccPr  libjpcnn.so        [.] PrepareInput::run                                                                                                                     
     0.40%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x42ba0000                                                                                                                            
     0.36%     0.00%  deepbeliefGccPr  [unknown]          [k] 0xc13a6f08                                                                                                                            
     0.35%     0.00%  deepbeliefGccPr  [unknown]          [k] 0x404b2e80                                                                                                                            
     0.34%     0.00%  deepbeliefGccPr  libarmmem.so       [.] memset                                                                                                                                
     0.32%     0.32%  deepbeliefGccPr  libc-2.19.so       [.] _int_malloc                                                                                                                           
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x69737265                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x400ec152                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0xba8de800                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x4000eda7                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x40000b80                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x40268c18                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [k] 0x420e86a0                                                                                                                            
